Nombre del Juego,Objetivo del juego,Objetivo Pedagógico,Reglas del Juego,Imagen representativa 
La olla,Vuelta a la calma,"Creatividad, mímica, velocidad de pensamiento","Se reparte un trozo de papel o dos lo suficientemente grandes para escribir una frase corta a todos los participantes al igual que lápices. Se les pide escribir una acción, una profesión, una enfermedad o lo que se les ocurra en el papel siempre y cuando sea simple. Y se colocan los papeles dentro de la olla. Se separa a los participantes de 2 a 3 equipos dependiendo de la cantidad de personas. El equipo escoge a un participante del equipo por ronda que tendrá que tomar un papel de la olla y tendrá que hacer que su equipo lo adivine sin decir lo que esta escrito en el papel.

-Tabu, es donde el participante puede decir cualquier palabra excepto la palabra del papel
o derivados, si la palabra es jardín no se puede decir jardinero.

El equipo contratrio no se quedara sin hacer nada, si el equipo se equivoca mas de 3 veces por papel tendrán una oportunidad de robar el punto en juego, si en esta oportunidad se falla se tendrá que esperar a que se equivoquen 3 veces mas para poder robar nuevamente. Si un equipo es incapaz de adivinar un papel pueden decidir decir “pase” y podrán pasar el papel a costa de una penalización de -1 punto. Se dispone de 1 y medio por variante para adivinar los papeles. Gana el equipo que mas papeles adivinados tenga.",
aro humano,calentamiento,"colaboración, estrategias y coordinación","Se forman dos círculos con igual cantidad de participantes. Todos los integrantes deben
tomarse de las manos.
Se coloca un aro en un punto del círculo. El objetivo es pasar el aro a través de todos los
jugadores sin soltarse las manos, pasando todo el cuerpo a traves del aro y luego
entregándolo al siguiente compañero.
El grupo que logre que el aro dé la vuelta completa al círculo, volviendo al punto de inicio,
gana la ronda.",
Tombo,principal,"estrategia, velocidad y precisión","2 equipos compiten en una mitad de cancha (otros 2 equipos en la otra mitad) o en cancha
2/3 de la cancha completa si está disponible, en las 4 esquinas habrá una estación y una de
estas será donde un equipo hará hilera, el otro equipo se reparte alrededor de la cancha,
dentro de las 4 estaciones, mientras que una persona estará al frente de la estación de inicio
con una pelota, se la va a lanzar de forma arqueada a uno del equipo contrario en la estación
de inicio, quien la golpeará únicamente con el brazo o puño, una vez le pegue, siempre y
cuando caiga dentro de las estaciones, solo este va a correr por las 4 estaciones intentando
no ser quemado con la pelota por el otro equipo, una vez empiece a correr, no se puede
devolver o correr de vuelta a la estación de donde partió, pero si puede frenar y/o detenerse
por un tiempo. Solo se puede quemar a quien corre si no está en una estación, si es
quemado, tendrá que irse último en la hilera de su equipo, lo mismo pasa si después de
pegarle a la pelota cae fuera de la cancha 3 veces. Si uno del equipo que no corre posee la
pelota en sus manos, el que corre no puede correr a la siguiente estación si ya está en una
y como máximo solo puede haber uno por estación, cuando uno que corre da la vuelta
completa será punto para su equipo.",
El ciempies,vuelta a la calma,"coordinación, colaboración ","Los participantes comenzarán caminando en mitad de cancha (o en un espacio reducido,
si se quiere realizar en otro lugar) dando vueltas. Quien dirige el juego comenzará a cantar:
—“¿El ciempiés no tiene pies?” (repiten los participantes).
—“¡Claro que los tiene, pero no los ves!” (repiten los participantes).
—“¿Cuántos pies tiene el ciempiés?” (repiten los participantes).
—“¡Tiene X pies!”
Cuando quien dirige dice, por ejemplo, “siete pies”, deberán juntarse cuatro participantes,
uno detrás de otro, afirmados de los hombros, y uno de ellos deberá ponerse junto a sus
compañeros, pero parado solo con una pierna, para que completen los siete pies. El último
grupo que lo logre perderá. Luego, deberán separarse nuevamente, seguir caminando en el
lugar designado y repetir la dinámica con otro número.",
Paletas,Coordinación óculo manual,"coordinación, precisión",Dos jugadores deben hacerse pases con una pelota utilizando paletas de madera. El objetivo es alcanzar la mayor cantidad de pases sin que la pelota toque el piso.,
Pichón,Juego principal,"Velocidad, agilidad, precisión","Un equipo debe formarse en hilera e ir de forma individual a correr hasta uno de los extremos del campo de juego, mientras que el otro debe distribuirse en dos filas a lo largo de los extremos del campo de juego, para lanzar balones al jugador que cruce la línea. Si uno logra cruzar exitosamente, es punto para su equipo; si es golpeado por algún balón, debe volver a formarse y debe salir otro del equipo. Una vez terminada la ronda se cambian los roles. El equipo que haya alcanzado más puntos será el ganador.",
Da ge mei,,,,
Las patentes,Memoria,"Trabajo en equipo, estrategia",Dos equipos deben llevar una patente en la espalda para cada uno de sus integrantes y deben escoger a un integrante que tenga lápiz y papel. Ambos equipos deben identificar ver las patentes de sus contrincantes y registrarlas correctamente. Cada patente que esté correcta es un punto para su equipo.,
Buscaminas,"Memoria, azar","Memoria, trabajo en equipo","Dos equipos deben escoger a un representante que recorra un camino prefijado marcado por casillas. Cada casilla puede estar libre o marcada con una bomba. Si un jugador avanza hacia una casilla libre puede hacer otro movimiento, siempre y cuando sea una sola casilla y que no sea un movimiento en diagonal. Si pisa una casilla ocupada por una bomba, debe volver al punto de inicio, ceder el turno al equipo rival y escoger a otro representante de su equipo. Gana el primer equipo que logre seguir el camino con todas las casillas libres hasta llegar a la meta.",
Bij Bol,Competencia,Trabajo en equipo,"Dos equipos compiten por llevar una pelota inflable grande hacia el arco del equipo rival, pudiendo golpearla con cualquier extremidad de su cuerpo. La única condición es que no se permite pisar la zona cerca del arco.",
Ultimate Frisbee,Competencia,"Trabajo en equipo, precisión, velocidad","Dos equipos deben darse pases con un frisbee y llegar con este hacia el otro extremo del campo de juego. Si un jugador pierde el frisbee o si se mueve con este en la mano, debe cedérselo al otro equipo. El equipo que logre hacer la mayor cantidad de puntos gana.",
Pac-man,Calentamiento,"Atención, velocidad, estrategia","En esta variante de la pinta, juegan lso fantasmas contra los pac-man. El movimiento se limita únicamente a seguir unas cuerdas distribuidas por el campo de juego, sin poder saltar o alterar la posición de la cuerda. Si un fantasma pinta a un pac-man, se invierten sus roles.",
Netball,Competencia,"Trabajo en equipo, precisión",Dos equipos deben enfrentarse para encestar un balón en el aro del equipo contrario. Las condiciones son que deben dar al menos un pase en cada uno de los 3 tercios de la zona de juego y no poder moverse con el balón en la mano. Gana el equipo que haya encestado más puntos para su equipo.,
El gato y el ratón,vuelta a la calma,Coordinación,"Se designa un jugador como el gato, y otro como el ratón. Todos los demás deben sujetar una lona circular y agitarla. El ratón debe arrastrarse debajo de la lona mientras el gato intenta atraparlo desde arriba. Cuando el gato atrapa al ratón, se eligen otros dos jugadores e intercambian roles.",
Pinta pelota,Calentamiento,"Resistencia, precisión, trabajo en equipo","Una versión de la pinta, en donde los que pintan deben hacerlo tocando a un jugador con la pelota o acertándole un tiro. Si un jugador es pintado, este pasa a pintar también. Aquellos que han sido pintados no pueden moverse con la pelota en la mano. Gana el último jugador en pie.",
Saltar la cuerda,Calentamiento,"Trabajo en equipo, coordinacion","Dos equipos grandes, cada uno debe saltar la cuerda cierta cantidad de veces seguidas. El primer equipo en lograrlo será el ganador.",
Zapatería,Calentamiento,"Atención, resistencia, coordinación","4 equipos. El primer equipo canta a uno de los equipos su color mientras ambos saltan: ""color, color, color"", el equipo responde ""qué hay, qué hay, qué hay"", ""¿tiene zapatos en venta?"", ""sí hay, sí hay, sí hay"", ""¿de qué color los tiene"" y después se responde con el color de otro equipo para seguir cantando. Si uno de los miembros del equipo se equivoca al decir su color, o al decir uno que no es de ningún equipo, o si dejan de saltar, estos se deben integrar al equipo que les está hablando.  ",
Cuncuna zigzag,Calentamiento,"Velocidad, agilidad, coordinación","Cuatro equipos se forman en fila, tomados de las manos. El último de cada fila debe zigzagear entre los demás integrantes, por debajo de sus brazos y sin soltarse de su compañero. Lo siguen los demás integrantes hasta que se invierte la fila entera, y luego se repite. Gana el equipo que logre desplazarse primero hasta el otro lado de la cancha.",
Posta simple,Calentamiento,Velocidad,"Cuatro equipos se forman en hilera en la linea de área de la cancha. El primero de cada hilera debe correr hasta la mitad de cancha, devolverse y chocar la mano con el siguiente de su hilera, quien en ese instante debe salir. Gana el primer equipo en que todos sus integrantes terminen de ir y volver.",
Posta transporte,Calentamiento,"Velocidad, colaboración, estrategia","Variante de la posta simple: Una vez el primero de su hilera vuelve, debe transportar al segundo hacia la mitad de cancha sin que toque el suelo. Luego se devuelven normalmente, y ambos transportan al tercero, y así sucesivamente.",
Abecedario humano,vuelta a la calma,"Creatividad, comunicación","Tres equipos, cada uno en un área de la cancha. Se da una letra, palabra u objeto, y el equipo debe dibujarlo con sus cuerpos acostándose en el suelo. El primer equipo que lo logre gana.",
Futbol scout,Juego principal,"Precisión, trabajo en equipo, estrategia","Reglas similares al handball. En vez de jugar con una pelota, se juega con un lazo de cuerda. El portero se encuentra en la portería opuesta, parado dentro de un hula hula y sujetando un bastón. Para meter un gol, el equipo debe lanzar el lazo desde fuera del área y el portero debe atraparlo con su bastón, sin salir del hula hula.",
Gallina ponedora,Calentamiento,"Precisión, coordinación motora, velocidad","Cuatro equipos se forman en hilera. En orden, cada integrante del equipo debe tomar una pelotita, sujetarla entre sus rodillas, correr hasta el hula hula que se encuentra a cierta distancia, y soltar la pelota dentro de éste sin tocarla con las manos. El primer equipo que transporte todas sus pelotitas es el ganador.",
Naciones gol,Juego principal,"Precisión, estrategia, agilidad","Una variante de Naciones de 2 equipos y con dos arcos. Los equipos deben escoger a un arquero que debe tapar los tiros hacia el arco. Si un jugador es quemado, puede moverse solamente por el perímetro de su propia área. Si un equipo hace un gol, el arquero es quemado y otro jugador debe ocupar su lugar. Gana el equipo que logre quemar a todo el otro equipo.",
Vuelta al mundo,Juego principal,"Velocidad, agilidad","Dos equipos formados en hilera, juegan por turnos. En cada turno, un jugador debe patear un balón lo más lejos posible y comenzar a dar vueltas alrededor de la hilera de su equipo. Mientras tanto el otro equipo debe ir a buscar el balón y devolverlo a la zona de tiro. Cuando el balón es devuelto, el primer jugador debe dejar de correr, y cada vuelta que completó suma un punto a su equipo. En cada turno los equipos invierten roles. El juego termina cuando todos los jugadores completan su turno, y gana el equipo con más puntos.",
Rayuela zapato/Búsqueda del zapato,vuelta a la calma,"Precisión, velocidad, atención","Dos equipos. En orden, cada integrante se debe sacar su zapatilla derecha y lanzarla desde cierta distancia hasta un hula hula. Si cae dentro o lo toca, es un punto para el equipo. Al final de la ronda todas las zapatillas se apilan. Se repite con la zapatilla izquierda, y gana el equipo con más puntos. Finalmente todos deben ir a buscar sus zapatillas a la pila. Gana el primer equipo que se forma en hilera, y donde todos sus integrantes tengan sus zapatillas puestas y atadas.",
Aplauso pulguita,"Celebración, vuelta a la calma",Animación,"En un círculo, los jugadores deben hacer una serie de movimientos que simula sostener una pulga y después aplastarla con un único aplauso.",
La jaula,Vuelta a la calma,"Trabajo en equipo, coordinación","Dos equipos. Cada uno tiene una jaula cilíndrica con pelotitas plásticas y deben sacarlas una a una, empujándolas hacia arriba usando sólo un palito de brocheta por integrante. Gana el primer equipo que saque todas las pelotitas.",
El ski,Juego principal,"Coordinación, comunicación","Dos equipos. Cada uno tiene un par de skis donde deben subirse 4 personas a la vez, con los pies izquierdos en un ski y los derechos en el otro. Luego este grupo debe coordinarse para caminar juntos hasta la línea de meta. Una vez ahí pueden bajarse de los skis, devolverse corriendo a su equipo y dejar los skis para el siguiente grupo de 4. Gana el primer equipo en que todos sus integrantes hayan usado los skis.",
Musaraña,Vuelta a la calma,Mímica,Tres equipos deben acercarse hacia el director del juego para recibir una palabra que tienen que representar con acciones y sin poder hablar. Si uno del equipo la adivina debe decirla al oído e ir a buscar otra palabra. Gana el equipo que logre completar primero toda la lista de palabras.,
Memorice,Vuelta a la calma,"Memoria, coordinación","Dos equipos. Cada uno tiene una pila de tarjetas, todas boca abajo. De cada equipo sale una pareja, quienes se deben acercar a su pila de tarjetas y levantar una cada uno. Si ambas tarjetas tienen el mismo dibujo, se las quedan. Luego ambos vuelven a su equipo y sale la siguiente pareja. Gana el primer equipo que se lleve todas sus tarjetas.",
"Que no caiga, que no toque el suelo",Vuelta a la calma,Colaboración,"Los jugadores deben darse pases entre sí con una pelota de yoga. La pelota no puede tocar el suelo, y cada jugador sólo puede tocarla una vez. El desafío se completa cuando todos los jugadores toquen la pelota.",
Aro móvil,Calentamiento,"Trabajo en equipo, precisión, agilidad, resistencia","Reglas similares al handball. En vez de haber porterías fijas, hay hula hulas transportados por un jugador de cada equipo. Gana el equipo que meta más goles.",
Derribando el platillo volador,Juego principal,"Precisión, coordinación, estrategia","Dos equipos. Uno de los equipos se distribuye en lados opuestos de un área, y se lanzan frisbees de lado a lado. El otro equipo se distribuye en los costados que quedan libres, y lanzan balones tratando de botar los frisbees en el aire. El primer equipo tiene un tiempo limitado para lanzar la mayor cantidad de frisbees, y cada vez que alguien lo recibe exitosamente ganan un punto. Una vez acabado el tiempo los equipos cambian de roles. Gana el equipo que obtenga más puntos.",
El tiburón,vuelta a la calma,"Atención, comunicación","Se designa un tiburón y dos salvavidas. Todos los demás jugadores deben sentarse en círculo sujetando una lona circular. Todos deben tener sus pies ocultos bajo la lona y deben agitarla formando ""olas"". El tiburón debe moverse bajo la lona y arrastrar a los jugadores adentro de ésta, haciendo que se ahoguen y se conviertan en tiburones. Los salvavidas pueden salvar a alguien que está siendo arrastrado por un tiburón, mientras todavía no esté completamente bajo la lona. El juego termina cuando todos o la mayoría de los jugadores están ahogados.",
Bapne,vuelta a la calma,"Coordinación motora, memoria","Se debe marcar el tiempo con pasos hacia adelante y hacia atrás seguido de movimientos corporales mientras se canta ""wariacha wariacha, wario wario"" dos veces seguido de ""simples cosas que tú puedes hacer, solo necesitas un simple poder"". La velocidad se va incrementando progresivamente.",
La corbata,Competencia,"Coordinación motora, trabajo bajo presión","En un círculo se van a ir pasando dos corbatas, una de color claro y otra de color oscuro. Si un jugador recibe la de color claro, debe hacerse un nudo simple alrededor del cuello y pasarla al jugador de la izquierda. Si recibe la de color oscuro, debe hacer lo mismo, pero con dos nudos simples. El juego concluye cuando un jugador recibe dos corbatas al mismo tiempo.",
Calle avenida,Competencia,"Velocidad, agilidad, coordinación","Para este juego, se requiere que un jugador sea gato y que otro sea ratón, mientras el resto debe distribuirse en filas y mantener los brazos estirados para formar un cuadrado. Si cualquier jugador grita ""calle"", los jugadores se forman en hilera, si se grita ""avenida"" deben formarse en fila, si se grita ""pasaje"" deben rotar y formar una diagonal y si se grita ""rotonda"" se deben formar ángulos de 90 grados con los brazos para cerrar el cuadrado. Mientras todo esto sucede, el gato debe intentar atrapar al ratón sin poder atravesar o cruzar por debajo de los brazos de sus compañeros.",
Misión imposible 2.0,vuelta a la calma,"Trabajo en equipo, estrategia",Dos equipos reciben una cuerda extensa cada uno y deben lograr coordinarse para extraer 3 lentejas al centro de un círculo sin que ningún jugador ponga un pie adentro del mismo.,
Quemados,,,,
Naciones,Juego principal,"Trabajo en equipo, precisión, agilidad","Dos equipos escogen a un jugador para que sea embajador. Ambos deben quemar a los jugadores del otro equipo con un balón sin salir de su propia área. El embajador puede cederle una vida a uno de sus compañeros y moverse por el perímetro del equipo contrario y quemar desde ahí. Si un jugador es quemado pasa a ser embajador, sin contar con el beneficio de las 3 vidas.",
Invasión,Juego principal,"Trabajo en equipo, precisión, agilidad","Una variante de Naciones de 4 equipos, en donde al quemar a un jugador, este debe pasarse al equipo que lo quemó. Si se quemá al último jugador de un equipo, su terriorio pasa a ser del equipo que lo quemó. El juego concluye cuando todos lso equipos se hayan unido en un único territorio.",
El auto de mi jefe,vuelta a la calma,"Memoria, coordinación","Se debe cantar la siguiente canción: ""El auto de mi jefe tiene un hoyo en la rueda"" (x3) y ""y con un chicle lo taparé"" haciendo s urespectiva mímica. Cada vez que se repita la canción se tiene que eliminar una palabra y hacer un silencio, estas palabras son (en orden) ""auto"", ""jefe"", ""hoyo"" y ""rueda"".",
4 esquinas,,,,
Misión imposible,Celebrar el cumpleaños del profesor,"Trabajo en equipo, creatividad","Una serie de desafíos para realizarse dentro de un módulo en equipos. El equipo que logre completar y grabar la mayor cantidad de desafíos en un módulo será el ganador. Estos desafíos incluyen: enseñarle a jugar a La Ameba a otro curso deportivo, dibujar la palabra ""LIDERAZGO"" con el cuerpo, realizar un pie de cueca con otras 3 personas que no sean del curso, representar un cuento infantil e incorporar a otras 3 personas que no sean del curso para actuarlo, pedirle matrimonio a 4 personas que no sean del curso con un anillo de compromiso, interpretar entre todos un rap que lleve como nombre ""Liderazgo, Juegos y Recreación"", pedirle permiso a un profesor para hablarle sobre la importancia del suspensor en el adulto mayor, realizar un formación de acrosport, pedirle a un profesor que cuenta un chiste y que todos se rían en el suelo y tocar entre todos un balón sin que toque el piso. ",
A paso parejo,Juego de calentamiento,"Estrategia, rapidez, coordinación","El grupo de personas se dividirá en 4 equipos, de seis a ocho personas. Cada equipo contará con cuerdas (o pañolines) y deberán ubicarse en uno de los extremos de la cancha. En la línea de central de esta misma se colocarán ocho lentejas para cada grupo. Dentro de cada equipo, deberán formar parejas y colocarse en una hilera. Con ayuda de la cuerda designada, cada pareja deberá atarse los pies entre sí. El objetivo del juego, es que las parejas que se encuentran atadas corran o caminen lo más rápido posible hasta la línea del centro de la cancha, tomen una lenteja y regresen hacia donde se encuentra su equipo, es decir el punto de partida. Al llegar, deberán chocar las manos con la siguiente pareja para que continúe. Aquello debe repetirse hasta que el equipo logre llevar a su zona las ocho lentejas asignadas",
Captura la bandera,Competencia,"Colaboración, estrategias, agilidad","La cancha tiene delimitadas 4 zonas, cada una con una base que posee una bandera correspondiente a uno de los equipos. Se dividen a los jugadores en 4 equipos, los cuales tendrán pañolines de un color asignado, que también corresponde al color de su respectiva bandera. Los jugadores deben disponer cada uno de un pañolín acomodado en su cadera (enganchado con la ropa), de manera que este llegue hasta la rodilla. El objetivo del juego es que los equipos puedan atravesar la cancha y capturar las banderas de los otros equipos. Para iniciar, los jugadores se dispondrán cada uno cerca de la base de su bandera. Si lo desean, pueden asignar roles dentro de su propio grupo, como defensas y atacantes. Para lograr llegar a alguna de las otras bases, deberán atravesar la cancha evitando que su pañolín les sea robado. En el caso de que esto ocurra, el equipo contrario se queda con este pañolín, y el jugador al que se le fue robado debe sentarse en la cancha y permanecer ahí, en donde puede ejercer un rol de vigía, alertando a sus compañeros de posibles peligros. Para lograr entrar a la base de un equipo rival y capturar su bandera, un representante del equipo deberá tener en su poder un pañolín del color de la bandera que se dispone a capturar. Una vez que este jugador haya ingresado a la base y capturado la bandera, debe regresar a la base de su equipo e instalar esta bandera junto con la de su equipo. Mientras realiza esto, se encuentra “inmune” y no puede ser eliminado por ningún otro jugador. Ahora el equipo del cual la bandera fue capturada pertenece al equipo que la capturó, así que a partir de este momento deben trabajar en conjunto. Esto también implica que, si uno de los otros equipos decide capturar la bandera de este nuevo equipo fusionado, necesite un pañolín de cada uno de los colores de las banderas de la base para ingresar, y que una vez ingrese, deberá llevarse las dos banderas consigo",
Carrera de pulpos,Calentamiento,"Trabajo en equipo,  colaboración, coordinación","Se formarán 4 equipos de 8 personas, los cuales deberán hacer un círculo y agarrarse todos de los brazos mirando hacia afuera, mas una persona que deberá quedarse en el centro. Esta tendrá que ir recogiendo las lentejas guíado por sus tentáculos (las personas) hasta que la lenteja quede dentro del círculo y la persona de centro pueda agacharse a recogerla. Gana el equipo que después pasado el tiempo recogió mas lentejas",
Conecta pañuelos,Competencia,"Trabajo en equipo, coordinación, estrategia","Se disponen 25 aros en el suelo formando un tablero de 5 x 5, con 5 filas y 5 columnas. Cada equipo se organiza en una hilera detrás de un cono o marca, todos mirando hacia el tablero. Entre las hileras y el tablero, se ubica una zona de pañuelos para cada equipo (por ejemplo, un aro, cono o marca donde se deja un montón de pañuelos del color de ese equipo). A la señal de inicio, el primer jugador de cada equipo sale corriendo desde su hilera hacia adelante. Al pasar por la zona de su equipo, toma un pañuelo del color correspondiente y continúa corriendo hacia el tablero. El jugador puede acercarse hasta el aro que desee ocupar, sin pisarlo, y deja caer o lanza suavemente el pañuelo intentando que quede completamente dentro del aro y que no toque los bordes.

● Si el pañuelo queda limpio dentro del aro elegido, ese aro queda ocupado por ese equipo.
● Si el pañuelo toca el borde o cae fuera del aro, la jugada no es válida: el jugador recoge el pañuelo

y vuelve a su hilera con él. En ambos casos, después de intentar la jugada el jugador regresa corriendo a su equipo y se coloca al final de la hilera, dando paso al siguiente compañero. El objetivo del juego es que el equipo logre colocar sus pañuelos de manera que formen 4 en línea, ya sea en horizontal, vertical o diagonal. El primer equipo que consiga esta alineación es el ganador de la ronda. Solo puede haber un jugador de cada equipo dentro de la zona de aros al mismo tiempo. El juego continúa con la rotación de jugadores hasta que algún equipo consiga la figura ganadora (4 en línea, o bien L/cuadrado si se está usando las variantes).",
Contacto,Competencia,"Trabajo en equipo, creatividad, coordinación verbal","Se forman 4 grupos con igual cantidad de participantes y se sientan todos en círculo con su respectivo grupo. Primero, se designa un líder de grupo, quien deberá pensar en una palabra principal y decir solamente la primera letra en voz alta. A partir de esa letra, los demás jugadores intentarán pensar en palabras que comiencen con la misma letra. Cuando alguien tenga una palabra en mente, no la dice directamente, sino que da una pista breve e indirecta para que otra persona del grupo pueda entender en qué palabra está pensando. Si otro jugador cree haber entendido la pista y piensa que sabe cuál es la palabra, dice “¡Contacto!”. En ese momento, ambos cuentan uno, dos, tres, y dicen la palabra al mismo tiempo. Si las dos palabras coinciden, se considera contacto válido y el líder debe revelar la siguiente letra de la palabra secreta. El juego continúa de la misma forma, acumulando letras, hasta que alguien adivina correctamente la palabra completa o se revela por completo mediante contactos. Además, cuando una persona del grupo diga la pista para que los demás entiendan en qué palabra está pensando, si es que el líder del grupo entiendela pista y cree saber qué palabra van a decir, puede anticiparse al resto del grupo y “cortar el contacto” diciendo “la palabra no es x”, siendo x la palabra que iba a decir el resto del grupo, evitando así que el grupo revele otra letra de la palabra principal.",
Cortocircuito,Competencia,"Coordinación y motricidad corporal, fortalecer comunicación, estimular pensamiento lógico","El juego consta de un circuito con 3 estaciones. en donde se dividirá al curso en cuatro subgrupos de 7-8 personas cada uno. Los grupos se ubicarán en paralelo uno al lado del otro para estimular la competencia entre ellos.
1. Para la primera estación, cada grupo se sentará en una hilera con las piernas extendidas, la primera persona de la hilera deberá colocar la pelota de esponja entre sus tobillos y lograr pasársela al compañero/a de al lado, y así sucesivamente hasta el que último integrante reciba la pelota y la ubique sobre una lenteja para dar finalizada la primera estación.
a. Regla 1: en caso de que la pelota se caiga en la primera mitad del grupo, es decir entre las primeras 3-4 personas de la hilera, se debe partir desde el comienzo. De lo contrario, si la pelota cae en la segunda mitad, se retoma el ejercicio desde donde cayó la pelota.

2. En la segunda estación, cada equipo debe ubicarse de pie formando una hilera y tomándose de las manos. La primera persona recogerá el aro de hula-hula y deberá comenzar a pasarlo, hasta que el aro de hula-hula llegue a la última persona y lo vuelva a colocar en el piso. a. Regla 2: el equipo no puede soltarse de las manos, y las personas que tengan una mano libre no podrán sostener el aro de hula-hula para que pase el resto del equipo. 3. Finalmente, en la tercera estación el equipo tendrá que elegir a una persona que se acerque hacia el dirigente del juego (en este caso yo) para que le diga una adivinanza, la cual tendrá que memorizar y transmitirla al resto del equipo. El equipo en conjunto tendrá que resolver la adivinanza y cuando tengan la respuesta, la misma persona deberá acercarse a mí y decir la respuesta para completar el circuito. a. Regla 3: cada equipo contará con dos oportunidades para responder la adivinanza. En caso de fallar, pueden cambiar la adivinanza hasta lograr responder o hasta que el resto de equipos ya haya completado la estación",
El coleccionista,Calentamiento,"Desplazamiento, colaboración sin comunicación, estrategia colaboratira","El juego empieza separando al curso en 4 equipos distintos los cuales se diferenciarán con el color de su pañolin de equipo. Habrán alrededor de 50 lentejas distribuidas en toda la cancha y cada equipo tendrá que coleccionar el máximo de lentejas que pueda. Solo una persona del equipo puede quedarse protegiendo dentro del aro (pueden intercambiar cuando gusten). Los demás deberán ir por las lentejas, pero con la dificultad de que, si otro contrincante le toca, deben hacer un duelo de cachipun y el ganador se lleva la lenteja a su zona de recolección (en el aro). Este en el camino puede ser retado a un duelo nuevamente. El equipo que lograr juntar más lentejas será el ganador",
El contrabando,Calentamiento,"Coordinación, cooperación, entrar en calor"," Se forman 4 grupos de 8 a 10 personas aproximadamente y se le asigna una lenteja (el contrabando) por persona. Si un equipo tiene menos integrantes se le asigna una  lenteja extra para igualar el número de lentejas por equipo.
- Cada grupo se ubica en hilera detrás de una línea de partida.
- Frente a cada grupo se marca una línea de llegada a unos 10 metros (las zonas de  contrabando).
- El primer jugador se coloca en posición de 4 apoyos (manos y pies) y lleva una  lenteja sobre la espalda.
- A la señal del animador, avanza hacia la meta sin dejar caer la lenteja.
- Si la lenteja cae, el jugador debe detenerse, volver al punto donde se cayó (manteniendo la posición de 4 apoyos) y colocare la lenteja nuevamente en la  espalda.
- Al llegar a la meta, el jugador deja la lenteja y vuelve trotando para tocar al  siguiente compañero y darle la partida.
- Gana el equipo que logra transportar primero todas sus lentejas.",
El diluvio express,Competencia,"Fomentar trabajo en equipo, desarrollar agilidad y promover participación activa","Cuatro equipos conformados por 5 a 8 integrantes cada uno. Los equipos se ubican en las esquinas de la cancha (morado, rosado, rojo y azul), alineados detrás de una marca de inicio. En el centro de la cancha se ubican cuatro baldes, cada uno dentro de su respectiva zona delimitada con lentejas de color (mismo color del equipo).
1. A la señal del instructor, el primer jugador de cada equipo (marcado con una estrella
en el esquema) toma la esponja, la sumerge completamente en el balde con agua de su base y corre en línea diagonal hacia el centro de la cancha, siguiendo el recorrido trazado con puntos blancos.
2. Al llegar a su balde central (del color correspondiente a su equipo), el jugador debe exprimir el agua de la esponja dentro del recipiente.
3. Luego, regresa corriendo por el mismo recorrido hacia su equipo y entrega la esponja al siguiente compañero, quien repite la misma secuencia.
4. El relevo continúa hasta que el balde central de uno de los equipos alcance el nivel de agua predeterminado o hasta que el instructor detenga la actividad. El equipo que logre llenar primero su balde hasta la marca establecida (o acumular mayor cantidad de agua al finalizar el tiempo) será el ganador.

- Reglas:
· La esponja debe ser transportada únicamente con las manos (no se puede lanzar ni arrastrar).
· Cada jugador debe volver al punto de partida antes de entregar la esponja al siguiente integrante.
· Si un jugador derrama el agua fuera del balde o se adelanta antes de recibir la esponja, deberá repetir su recorrido.
· No se permite obstaculizar el paso de otros equipos.
- Penalizaciones: · Saltarse el relevo (entregar la esponja sin que el anterior haya terminado) resta puntos. · Derramar el balde central o interferir con otros equipos implica volver a empezar ese turno",
El director de orquesta,mimica,,"• Los participantes se sientan formando un círculo separados en 2 colores de  pañuelos por circulo.
• Se elige a un participante para que sea el ""detective"", quien debe salir del lugar o cerrar los ojos para no ver.
• Mientras el detective no mira, el resto del grupo elige en secreto a un ""Director  de Orquesta"".
• Se llama al detective para que regrese y se coloque en el centro del círculo.
• El Director de Orquesta comienza a hacer un gesto o movimiento rítmico (ej. dar palmadas, tocarse las rodillas).
• Todos los demás miembros del círculo deben imitar al director lo más rápido  posible, intentando disimular a quién están mirando.
• El director debe cambiar de movimiento sutilmente, y el resto del grupo debe seguirlo.
• El objetivo del detective es adivinar quién es el Director de Orquesta. Tiene dos o tres oportunidades para acusar.
• Si el detective acierta: Gana la ronda. Intercambia su rol con el director que descubrió; el detective se une al círculo y el director se convierte en el nuevo detective, se elige a un nuevo director.
• Si el detective falla (agota todas sus oportunidades): Pierde la ronda. Se elige a un nuevo detective entre los miembros del círculo.",
